used_car_id,listing_url,car_model,brand,color,fuel_type,price,depreciation_per_year,registration_date,coe_left,mileage,manufactured_year,road_tax_per_year,transmission,dereg_value,omv,coe_value,arf,engine_capacity_cc,power,curb_weight,no_of_owners,vehicle_type,scraped_datetime,posted_datetime,updated_datetime,active
1376959,https://www.sgcarmart.com/used_cars/info.php?ID=1376959&DL=1079&utm_content=SLeligible,FERRARI 599F1,FERRARI,Blue,Petrol,262800.000000000,69010.000000000,2009-01-21,1384,90000,2009,10614.000000000,Auto,11933.000000000,410321.000000000,31335.000000000,410321.000000000,5999,456,1690,3,Sports Car,2025-04-01 09:43:43.028447,2025-02-22,2025-03-02,True
1373952,https://www.sgcarmart.com/used_cars/info.php?ID=1373952&DL=3749&utm_content=SLeligible,FERRARI F430 F1,FERRARI,Yellow,Petrol,253000.000000000,64620.000000000,2009-03-23,1422,42000,2009,6648.000000000,Auto,12502.000000000,275122.000000000,31933.000000000,275122.000000000,4308,357,1450,6,Sports Car,2025-04-01 11:07:47.050302,2025-02-13,2025-03-28,True
1368470,https://www.sgcarmart.com/used_cars/info.php?ID=1368470&DL=3973&utm_content=SLeligible,FIAT 500 LOUNGE 1.4 SMT ABS D/AB SR 2WD 3DR,FIAT,White,Petrol,48000.000000000,11990.000000000,2009-05-29,1460,125000,2009,912.000000000,Auto,10217.000000000,19342.000000000,25525.000000000,19342.000000000,1368,66,930,3,Hatchback,2025-03-31 14:25:48.176464,2025-03-24,2025-03-24,True
1378176,https://www.sgcarmart.com/used_cars/info.php?ID=1378176&DL=2689&utm_content=SLeligible,HONDA ACCORD 2.4 A,HONDA,Grey,Petrol,45777.000000000,10620.000000000,2009-07-23,1571,228000,2009,2442.000000000,Auto,18493.000000000,32906.000000000,42885.000000000,32906.000000000,2354,151,1500,5,Luxury Sedan,2025-03-31 16:14:24.250369,2025-03-21,2025-03-29,True
1383337,https://www.sgcarmart.com/used_cars/info.php?ID=1383337&DL=3838&utm_content=SLeligible,HONDA ACCORD 2.4L,HONDA,Grey,Petrol,37800.000000000,9840.000000000,2009-03-26,1395,155000,2009,2442.000000000,Auto,12036.000000000,31866.000000000,31335.000000000,31866.000000000,2354,133,1550,2,Luxury Sedan,2025-03-31 10:11:06.590337,2025-03-26,2025-03-26,True
1369483,https://www.sgcarmart.com/used_cars/info.php?ID=1369483&DL=4405&utm_content=SLeligible,HONDA ACCORD 2.4L,HONDA,Grey,Petrol,34500.000000000,9070.000000000,2009-01-19,1383,209993,2009,2442.000000000,Auto,11924.000000000,31866.000000000,31335.000000000,31866.000000000,2354,133,1550,2,Luxury Sedan,2025-03-31 02:32:45.858314,2025-03-27,2025-03-27,True
1385947,https://www.sgcarmart.com/used_cars/info.php?ID=1385947&DL=4343&utm_content=SLeligible,HONDA ACCORD EURO S 2.4 A,HONDA,Grey,Petrol,43800.000000000,11400.000000000,2009-06-02,1395,190000,2009,2442.000000000,Auto,12036.000000000,28130.000000000,31335.000000000,28130.000000000,2354,148,1555,6,Luxury Sedan,2025-03-31 13:55:21.751608,2025-03-25,2025-03-26,True
1222850,https://www.sgcarmart.com/used_cars/info.php?ID=1222850&DL=3723&utm_content=SLeligible,HONDA ACCORD EURO S 2.4 A,HONDA,White,Petrol,44800.000000000,11180.000000000,2009-05-07,1460,136500,2009,2442.000000000,Auto,13216.000000000,24896.000000000,33018.000000000,24896.000000000,2354,148,1555,6,Luxury Sedan,2025-03-31 01:33:05.793255,2025-03-28,2025-03-28,True
1369791,https://www.sgcarmart.com/used_cars/info.php?ID=1369791&DL=3142&utm_content=SLeligible,HONDA ACCORD EURO S 2.4 A,HONDA,Black,Petrol,44800.000000000,11290.000000000,2009-03-20,1440,150000,2009,2442.000000000,Auto,13099.000000000,21722.000000000,33018.000000000,21722.000000000,2354,148,1555,5,Luxury Sedan,2025-04-01 00:55:46.818538,2025-03-13,2025-03-13,True
1360541,https://www.sgcarmart.com/used_cars/info.php?ID=1360541&DL=3954&utm_content=SLeligible,HONDA AIRWAVE 1.5M A,HONDA,Blue,Petrol,45000.000000000,11400.000000000,2009-03-13,1433,213630,2009,1023.000000000,Auto,10077.000000000,14951.000000000,25525.000000000,14951.000000000,1496,81,1160,6,Stationwagon,2025-04-01 10:18:58.802041,2025-02-18,2025-02-21,True
1376649,https://www.sgcarmart.com/used_cars/info.php?ID=1376649&DL=4517&utm_content=SLeligible,HONDA CIVIC 1.6L 5AT,HONDA,Blue,Petrol,39800.000000000,9960.000000000,2009-03-31,1451,172755,2009,1110.000000000,Auto,10203.000000000,25281.000000000,25525.000000000,25281.000000000,1595,92,1220,3,Mid-Sized Sedan,2025-04-01 03:13:25.557178,2025-03-02,2025-03-26,True
1368664,https://www.sgcarmart.com/used_cars/info.php?ID=1368664&DL=2049&utm_content=SLeligible,HONDA CIVIC 1.6L 5AT,HONDA,Grey,Petrol,39800.000000000,10370.000000000,2009-02-05,1395,140000,2009,1110.000000000,Auto,9998.000000000,25281.000000000,26047.000000000,25281.000000000,1595,92,1220,2,Mid-Sized Sedan,2025-04-01 09:59:20.062178,2025-02-20,2025-02-20,True
1373568,https://www.sgcarmart.com/used_cars/info.php?ID=1373568&DL=4627&utm_content=SLeligible,HONDA CIVIC 1.8L 5AT,HONDA,Silver,Petrol,47800.000000000,12440.000000000,2009-02-19,1395,120000,2009,1467.000000000,Auto,12036.000000000,24871.000000000,31335.000000000,24871.000000000,1799,103,1219,2,Mid-Sized Sedan,2025-03-31 15:35:18.504976,2025-03-22,2025-03-22,True
1358010,https://www.sgcarmart.com/used_cars/info.php?ID=1358010&DL=3915&utm_content=SLeligible,HONDA CIVIC 3DRS TYPE R,HONDA,Yellow,Petrol,57777.000000000,14740.000000000,2009-03-02,1424,182777,2009,1815.000000000,Manual,12519.000000000,30911.000000000,31933.000000000,30911.000000000,1998,148,1345,6,Sports Car,2025-03-30 23:42:49.320224,2025-03-29,2025-03-29,True
1375617,https://www.sgcarmart.com/used_cars/info.php?ID=1375617&DL=4334&utm_content=SLeligible,HONDA CIVIC TYPE-R 2.0 M,HONDA,Black,Petrol,89867.000000000,22950.000000000,2009-04-14,1422,241231,2009,1815.000000000,Manual,12502.000000000,32511.000000000,31933.000000000,32511.000000000,1998,165,1270,5,Sports Car,2025-04-01 10:17:49.977265,2025-02-18,2025-03-31,True
1212505,https://www.sgcarmart.com/used_cars/info.php?ID=1212505&DL=1034&utm_content=SLeligible,HONDA CIVIC TYPE-R 2.0 M,HONDA,White,Petrol,109800.000000000,23210.000000000,2009-12-23,1721,168671,2009,1815.000000000,Manual,18601.000000000,34900.000000000,39313.000000000,34900.000000000,1998,165,1270,5,Sports Car,2025-03-31 14:53:14.443382,2025-03-23,2025-03-29,True
1376163,https://www.sgcarmart.com/used_cars/info.php?ID=1376163&DL=3616&utm_content=SLeligible,HONDA CIVIC TYPE-R 2.0 M,HONDA,White,Petrol,86800.000000000,22170.000000000,2009-04-24,1422,200000,2009,1815.000000000,Manual,12502.000000000,31517.000000000,31933.000000000,31517.000000000,1998,165,1270,4,Sports Car,2025-04-01 10:09:02.484532,2025-02-19,2025-03-30,True
1324468,https://www.sgcarmart.com/used_cars/info.php?ID=1324468&DL=4074&utm_content=SLeligible,HONDA CROSSROAD 1.8L A,HONDA,Silver,Petrol,44800.000000000,11940.000000000,2009-02-20,1364,161000,2009,1467.000000000,Auto,11843.000000000,23861.000000000,31553.000000000,11750.000000000,1799,103,1410,6,SUV,2025-04-01 10:19:25.374333,2025-02-18,2025-02-18,True
1385396,https://www.sgcarmart.com/used_cars/info.php?ID=1385396&DL=1277&utm_content=SLeligible,HONDA CRV 2.4L AT,HONDA,Black,Petrol,46800.000000000,10200.000000000,2009-12-03,1670,170000,2009,2442.000000000,Auto,17210.000000000,38590.000000000,37502.000000000,38590.000000000,2354,125,1605,5,SUV,2025-03-31 15:05:55.349756,2025-03-23,2025-03-23,True
1340535,https://www.sgcarmart.com/used_cars/info.php?ID=1340535&DL=3722&utm_content=SLeligible,HONDA FIT 1.3G A,HONDA,Silver,Petrol,45800.000000000,10980.000000000,2009-06-18,1520,100973,2009,885.000000000,Auto,11636.000000000,11150.000000000,27886.000000000,11150.000000000,1339,73,1010,1,Hatchback,2025-03-30 23:22:39.863376,2025-03-29,2025-03-29,True
1306528,https://www.sgcarmart.com/used_cars/info.php?ID=1306528&DL=4405&utm_content=SLeligible,HONDA FIT 1.5 RS M,HONDA,Blue,Petrol,65500.000000000,14550.000000000,2009-10-09,1639,165000,2009,1023.000000000,Manual,13272.000000000,15919.000000000,29485.000000000,15919.000000000,1496,88,1050,3,Hatchback,2025-04-01 12:12:11.195469,2025-02-06,2025-03-17,True
1361989,https://www.sgcarmart.com/used_cars/info.php?ID=1361989&DL=3047&utm_content=SLeligible,HONDA FIT 1.5RS SKYROOF M,HONDA,Red,Petrol,44800.000000000,11930.000000000,2009-01-08,1365,118200,2009,1023.000000000,Manual,10356.000000000,15798.000000000,27571.000000000,9288.000000000,1496,88,1080,5,Hatchback,2025-03-31 03:13:29.329703,2025-03-26,2025-03-28,True
1352776,https://www.sgcarmart.com/used_cars/info.php?ID=1352776&DL=4768&utm_content=SLeligible,HONDA JAZZ 1.3L MT,HONDA,White,Petrol,39800.000000000,10200.000000000,2009-02-23,1417,133000,2009,885.000000000,Manual,10037.000000000,20388.000000000,25727.000000000,20388.000000000,1339,73,1090,6,Hatchback,2025-03-31 13:26:26.649598,2025-03-25,2025-03-31,True
1381653,https://www.sgcarmart.com/used_cars/info.php?ID=1381653&DL=4503&utm_content=SLeligible,HONDA JAZZ 1.5L A,HONDA,White,Petrol,47800.000000000,10140.000000000,2009-12-17,1714,185916,2009,1026.000000000,Auto,15068.000000000,24443.000000000,31976.000000000,24443.000000000,1497,88,1115,4,Hatchback,2025-04-01 01:30:46.343482,2025-03-10,2025-03-13,True
1171136,https://www.sgcarmart.com/used_cars/info.php?ID=1171136&DL=3142&utm_content=SLeligible,HONDA ODYSSEY 2.4L AT SR,HONDA,Black,Petrol,41800.000000000,10710.000000000,2009-02-23,1418,148135,2009,2442.000000000,Auto,12467.000000000,37136.000000000,31933.000000000,37136.000000000,2354,132,1680,6,MPV,2025-03-30 23:44:43.454330,2025-03-29,2025-03-29,True
1376070,https://www.sgcarmart.com/used_cars/info.php?ID=1376070&DL=3368&utm_content=SLeligible,HONDA STREAM 1.8L A,HONDA,Grey,Petrol,39321.000000000,9820.000000000,2009-06-03,1460,112000,2009,1467.000000000,Auto,13216.000000000,25419.000000000,33018.000000000,25419.000000000,1799,103,1370,2,MPV,2025-03-31 03:13:51.898488,2025-03-26,2025-03-28,True
